zipcodes,param,param_seasonal,aic
97557,"(2, 1, 2)","(2, 1, 2, 12)",4004.773501548692
97558,"(2, 1, 2)","(2, 1, 2, 12)",3969.6628254607026
97559,"(2, 1, 2)","(2, 1, 2, 12)",2918.825266546037
97560,"(2, 1, 2)","(2, 1, 2, 12)",4150.367229330708
97562,"(2, 1, 2)","(2, 1, 2, 12)",4030.226237455918
97563,"(2, 1, 2)","(2, 1, 2, 12)",4214.395907940202
97564,"(2, 1, 2)","(2, 1, 2, 12)",4046.4622706626933
97565,"(2, 1, 2)","(2, 1, 2, 12)",4010.0132830082293
97566,"(2, 1, 2)","(2, 1, 2, 12)",4188.270221595956
97567,"(2, 1, 1)","(2, 1, 1, 12)",3889.883221447469
97568,"(2, 1, 2)","(2, 1, 2, 12)",4079.7880398568623
97569,"(2, 1, 2)","(2, 1, 2, 12)",4045.1185573367284
97570,"(2, 1, 2)","(2, 1, 2, 12)",3922.5305068227676
97571,"(2, 1, 2)","(2, 1, 2, 12)",4070.1035095608268
97572,"(2, 1, 2)","(2, 1, 2, 12)",4070.1045103924944
97575,"(2, 1, 2)","(2, 1, 2, 12)",4007.8582741586306
97576,"(2, 1, 2)","(2, 1, 2, 12)",3930.4669666120117
97577,"(2, 1, 2)","(2, 1, 2, 12)",4135.876915891051
97578,"(2, 1, 2)","(2, 1, 2, 12)",3792.938052722402
97581,"(2, 1, 2)","(2, 1, 2, 12)",3992.6905566947107
97585,"(2, 1, 2)","(2, 1, 2, 12)",4042.297601699188
97586,"(2, 1, 2)","(2, 1, 2, 12)",3952.1043406330164
97587,"(2, 1, 2)","(2, 1, 2, 12)",4074.6966256765763
97588,"(2, 1, 2)","(2, 1, 2, 12)",3851.671407936051
97610,"(2, 1, 2)","(2, 1, 2, 12)",3207.683294254046
